post_id	thread_id	comment_text	label	prev_post_id	prev_post_label	prev_post_text	prev_sim	distance_score	thread_sim	RuncountNeg	RuncountPos	DistanceLbl0	DistanceLbl1	RelRuncount
post_2560044	post_2559436	"Read the MMR and autism post.    It was posted a long while back	 but someone did a reply relatively recently.    Anyways	 the latest reply from twinmommyplusone was really good.    She has a 5 year old with autism	 and basically talks about why she feels that it is not related any more since the mercury has been removed.    Maybe I'm not remembering correctly.    I think she said she noticed signs since her son's birth.    I also noticed signs my daughter showed since her birth	 long before the MMR which also didn't have mercury.    So	 who knows.    I've heard that there is a study now that's investigating whether early sonograms might contribute.    Of course no results yet	 it will be several years probably	 but I guess some scientists are curious enough to investigate it."	0					1	0.6123207807540894	0	0	999	0	0.0
post_2560050	post_2559436	"Um	 I think I got the author's posts mixed up... original post by twinmommyplusone and reply by kristinna."	0	post_2560044	0.0	"Read the MMR and autism post.    It was posted a long while back	 but someone did a reply relatively recently.    Anyways	 the latest reply from twinmommyplusone was really good.    She has a 5 year old with autism	 and basically talks about why she feels that it is not related any more since the mercury has been removed.    Maybe I'm not remembering correctly.    I think she said she noticed signs since her son's birth.    I also noticed signs my daughter showed since her birth	 long before the MMR which also didn't have mercury.    So	 who knows.    I've heard that there is a study now that's investigating whether early sonograms might contribute.    Of course no results yet	 it will be several years probably	 but I guess some scientists are curious enough to investigate it."	0.22403334081172943	2	0.21253442764282227	1	0	0	1	0.0
post_2560572	post_2559436	There are studies under way right now.    No    conclusions yet.	0	post_2560050	0.0	"Um	 I think I got the author's posts mixed up... original post by twinmommyplusone and reply by kristinna."	0.09944327175617218	3	0.10061613470315933	2	0	0	2	0.0
post_2565830	post_2559436	"There is no scientific evidence whatsoever to link the the MMR vaccine with autism.There is	 however	 ample evidence of the danger of measles. Before the vaccine	 measles used to kill 450 children per year and disable 1000 more. My grandmother's sister was among the disabled	 she was blinded by the disease.This weeks MMWR contains an article about a measles outbreak in San Diego. The parents took an unvaccinated child to Switzerland	 where he got the disease. The child then went to school	 and to the doctors	 infecting 11 additional children.The health authorities had to trace every contact. Unvaccinated children had to undergo a 21 day quarantine. It is a very heavy price for a trip for Europe."	0	post_2560572	0.0	There are studies under way right now.    No    conclusions yet.	0.052503377199172974	4	0.6575193405151367	3	0	0	3	0.0
post_2584859	post_2559436	"Safe to say swampcritter doesn't have a child with autism. I have two. The week my daughter got her MMR she started saying ""daddy"" the day after the vaccination it went away and never came back. You are going to have to do better than antiquated fatality statistics to convince me that in 2008 measles is worse than autism. A 21 day quarantine beats the he** out of a lifetime with autism."	1	post_2565830	0.0	"There is no scientific evidence whatsoever to link the the MMR vaccine with autism.There is	 however	 ample evidence of the danger of measles. Before the vaccine	 measles used to kill 450 children per year and disable 1000 more. My grandmother's sister was among the disabled	 she was blinded by the disease.This weeks MMWR contains an article about a measles outbreak in San Diego. The parents took an unvaccinated child to Switzerland	 where he got the disease. The child then went to school	 and to the doctors	 infecting 11 additional children.The health authorities had to trace every contact. Unvaccinated children had to undergo a 21 day quarantine. It is a very heavy price for a trip for Europe."	0.6415303349494934	5	0.706145703792572	3	1	0	3	20.0
post_2585810	post_2559436	Is measles a probem in Switzerland?    Do they imunize their children in Switzerland?    I am surprized that this child contracted measles in Switzerland.    I asm also surprized that 11 children plus the child in question    were not imunized in a San Diego school.    I guess parents can opt out but i am surprized that as many as 12 had done so in one individual school.	0	post_2584859	1.0	"Safe to say swampcritter doesn't have a child with autism. I have two. The week my daughter got her MMR she started saying ""daddy"" the day after the vaccination it went away and never came back. You are going to have to do better than antiquated fatality statistics to convince me that in 2008 measles is worse than autism. A 21 day quarantine beats the he** out of a lifetime with autism."	0.38634803891181946	6	0.36681124567985535	4	1	1	4	16.666666666666664
post_2617507	post_2559436	"The Center of Disease Control and the American Academy of Pediatrics have both concluded that there is no link between the vaccine and autism.    Thimerisol (mercury component) in the vaccines has been removed from the MMR since 1999.    If there was a link	 wouldn't the incidence of autism decrease?"	0	post_2585810	0.0	Is measles a probem in Switzerland?    Do they imunize their children in Switzerland?    I am surprized that this child contracted measles in Switzerland.    I asm also surprized that 11 children plus the child in question    were not imunized in a San Diego school.    I guess parents can opt out but i am surprized that as many as 12 had done so in one individual school.	0.34114110469818115	7	0.7272859811782837	5	1	0	5	14.285714285714285
post_2618283	post_2559436	"IMHO	 the incidence of autism has increased due to the changing DSM definition of autism has broadened over the years    and IDEA definition of autism was added within the last 20 years.    Once IDEA added autism as a category	 as lot of kids labeled with autism flooded the rosters.     Also	 more professionals know    what to look for in patients who have been misdiagnosed in the past.Just an example here:No one over 40 has    fetal alcohol syndrome	     It affects about 1 in 500 kids today. Fetal alcohol syndrome was not even recognized until the mid-'70s. Fetal alcohol syndrome still existed;    no one would say alcoholism among pregnant women just started in the 70's."	0	post_2617507	0.0	"The Center of Disease Control and the American Academy of Pediatrics have both concluded that there is no link between the vaccine and autism.    Thimerisol (mercury component) in the vaccines has been removed from the MMR since 1999.    If there was a link	 wouldn't the incidence of autism decrease?"	0.5703012943267822	8	0.6141945719718933	6	1	0	6	12.5
post_2638137	post_2559436	"Since geneticists now feel that autism is likely triggered by something envirnmental 	 I do not think vaccines can be 100% ruled out as a TRIGGER.I wouldn't call it the one and only cause though.I think they are likely numerous environmental triggers including the illnesses the vaccines protect our children from.One neuro has a theory that noise pollution is a trigger. Very interesting."	1	post_2618283	0.0	"IMHO	 the incidence of autism has increased due to the changing DSM definition of autism has broadened over the years    and IDEA definition of autism was added within the last 20 years.    Once IDEA added autism as a category	 as lot of kids labeled with autism flooded the rosters.     Also	 more professionals know    what to look for in patients who have been misdiagnosed in the past.Just an example here:No one over 40 has    fetal alcohol syndrome	     It affects about 1 in 500 kids today. Fetal alcohol syndrome was not even recognized until the mid-'70s. Fetal alcohol syndrome still existed;    no one would say alcoholism among pregnant women just started in the 70's."	0.5215226411819458	9	0.6411069631576538	6	2	0	6	22.22222222222222
post_2652656	post_2559436	"One can go by theories or actual science.    Most of the authors of the study that claimed that thimerisol (the agent in the MMR vaccine that was supposedly linked to autism) have since come out publicly and said they were incorrect.    Thimerisol has been OUT OF THE SHOTS SINCE 1999!    If it was the thimerisol causes autism	 wouldn't the rate of autism have gone down since it had been removed from the shot?    I am not saying that it couldn't be a combination between genetics and enviromental factors but the shot theory just doesn't follow logic.    A friend of mine has twins	 one autistic and one not.    They both got the MMR vaccine on the SAME DAY from the SAME BATCH.    If it were the shot that causes autism	 wouldn't both of those children have it?"	0	post_2638137	1.0	"Since geneticists now feel that autism is likely triggered by something envirnmental 	 I do not think vaccines can be 100% ruled out as a TRIGGER.I wouldn't call it the one and only cause though.I think they are likely numerous environmental triggers including the illnesses the vaccines protect our children from.One neuro has a theory that noise pollution is a trigger. Very interesting."	0.609940767288208	10	0.7327316403388977	7	2	1	7	20.0
post_2652793	post_2559436	"Not to get off topic or anything but I was reading one person's blog on talentdatabase who thinks there is a link between baby shampoos and autism. I'm not sure if the blogger is autistic or not	 but she seems to be interested in it. She suggested googling up autism and phthalates.I'm not saying if it is true or not	 but it was interesting to read nonetheless. I've also read connections between anorexia and autism. Even chimeras and autism!Personally I think there are a number of factors that cause autism whether it is biological or environmental.(I_  m straining for a good visual example)    Say you want to cook a casserole dish. There are several different recipes for the same thing. It_  s still potatoes and green beans	 but the method of cooking and preparation may have been different.Or you cut your finger. Several things may have caused the cut.That_  s my take on the whole causes of autism debate_  À_    I think rather than try to figure out a single _  cause_   just focus on what you have at hand	 your son	 or daughter.    No matter what caused the autism	 you have an autistic child. Autism doesn_  t have to be a death sentence. (some parents seem to think) There are pros and cons.    If you think of it there_  s _  type A_   personality	 whether that_  s a real dx or not is a debate. It is not quite viewed as a disability	 but it too has its up-sides and downsides.Long term wise if there are environmental triggers that are causing damage to people	 I hope that with research	 that those chemicals can be pulled off the market	 and taken o"	1	post_2652656	0.0	"One can go by theories or actual science.    Most of the authors of the study that claimed that thimerisol (the agent in the MMR vaccine that was supposedly linked to autism) have since come out publicly and said they were incorrect.    Thimerisol has been OUT OF THE SHOTS SINCE 1999!    If it was the thimerisol causes autism	 wouldn't the rate of autism have gone down since it had been removed from the shot?    I am not saying that it couldn't be a combination between genetics and enviromental factors but the shot theory just doesn't follow logic.    A friend of mine has twins	 one autistic and one not.    They both got the MMR vaccine on the SAME DAY from the SAME BATCH.    If it were the shot that causes autism	 wouldn't both of those children have it?"	0.6233054995536804	11	0.6735129952430725	7	3	0	7	27.27272727272727
